address,availability,baths,bedbath_raw,beds,bedsxbaths,datecrawled,domain,features_raw,monthly_price,occupancy,offer,pets,price_max,price_min,property,size,terms,unit_id,units,url
"1 Henry Adams St San Francisco CA, 94103",3/9/2021,1,0 Bed 1 Bath,0,0x1,2021-03-09 22:04:54.056430,www.equityapartments.com,,2257,,,Pet Friendly,,,One Henry Adams Apartments,482,,416,,https://www.equityapartments.com/san-francisco/design-district/one-henry-adams-apartments##unit-availability-tile
"1 Henry Adams St San Francisco CA, 94103",3/13/2021,1,0 Bed 1 Bath,0,0x1,2021-03-09 22:04:54.060770,www.equityapartments.com,,2535,,,Pet Friendly,,,One Henry Adams Apartments,481,,514,,https://www.equityapartments.com/san-francisco/design-district/one-henry-adams-apartments##unit-availability-tile
"1 Henry Adams St San Francisco CA, 94103",3/9/2021,1,0 Bed 1 Bath,0,0x1,2021-03-09 22:04:54.063541,www.equityapartments.com,,2721,,,Pet Friendly,,,One Henry Adams Apartments,478,,615,,https://www.equityapartments.com/san-francisco/design-district/one-henry-adams-apartments##unit-availability-tile
"1 Henry Adams St San Francisco CA, 94103",3/9/2021,1,0 Bed 1 Bath,0,0x1,2021-03-09 22:04:54.067156,www.equityapartments.com,,2948,,,Pet Friendly,,,One Henry Adams Apartments,659,,102,,https://www.equityapartments.com/san-francisco/design-district/one-henry-adams-apartments##unit-availability-tile
"1 Henry Adams St San Francisco CA, 94103",3/9/2021,1,1 Bed 1 Bath,1,1x1,2021-03-09 22:04:54.070974,www.equityapartments.com,,2611,,Apply by 3/13 and save up to One Month's Rent on select terms! Offer valid on new leases only. Transfers excluded.,Pet Friendly,,,One Henry Adams Apartments,658,,328,,https://www.equityapartments.com/san-francisco/design-district/one-henry-adams-apartments##unit-availability-tile
"1 Henry Adams St San Francisco CA, 94103",3/9/2021,1,1 Bed 1 Bath,1,1x1,2021-03-09 22:04:54.075710,www.equityapartments.com,,2742,,Apply by 3/13 and save up to One Month's Rent on select terms! Offer valid on new leases only. Transfers excluded.,Pet Friendly,,,One Henry Adams Apartments,653,,504,,https://www.equityapartments.com/san-francisco/design-district/one-henry-adams-apartments##unit-availability-tile
"1 Henry Adams St San Francisco CA, 94103",3/9/2021,1,1 Bed 1 Bath,1,1x1,2021-03-09 22:04:54.079688,www.equityapartments.com,,2971,,Apply by 3/13 and save up to One Month's Rent on select terms! Offer valid on new leases only. Transfers excluded.,Pet Friendly,,,One Henry Adams Apartments,718,,222,,https://www.equityapartments.com/san-francisco/design-district/one-henry-adams-apartments##unit-availability-tile
"1 Henry Adams St San Francisco CA, 94103",3/9/2021,1,1 Bed 1 Bath,1,1x1,2021-03-09 22:04:54.083724,www.equityapartments.com,,3002,,Apply by 3/13 and save up to One Month's Rent on select terms! Offer valid on new leases only. Transfers excluded.,Pet Friendly,,,One Henry Adams Apartments,718,,322,,https://www.equityapartments.com/san-francisco/design-district/one-henry-adams-apartments##unit-availability-tile
"1 Henry Adams St San Francisco CA, 94103",3/17/2021,1,1 Bed 1 Bath,1,1x1,2021-03-09 22:04:54.087086,www.equityapartments.com,,3030,,Apply by 3/13 and save up to One Month's Rent on select terms! Offer valid on new leases only. Transfers excluded.,Pet Friendly,,,One Henry Adams Apartments,776,,506,,https://www.equityapartments.com/san-francisco/design-district/one-henry-adams-apartments##unit-availability-tile
"1 Henry Adams St San Francisco CA, 94103",3/9/2021,1,1 Bed 1 Bath,1,1x1,2021-03-09 22:04:54.091397,www.equityapartments.com,,3105,,Apply by 3/13 and save up to One Month's Rent on select terms! Offer valid on new leases only. Transfers excluded.,Pet Friendly,,,One Henry Adams Apartments,721,,625,,https://www.equityapartments.com/san-francisco/design-district/one-henry-adams-apartments##unit-availability-tile
